transcript_10 scaffold_0 6 GL831247.1 17
transcript_10004 scaffold_185 2 AERX01077220.1 0
transcript_10004 scaffold_185 2 GL831176.1 131
transcript_10004 scaffold_185 2 GL831176.1 133
transcript_10005 scaffold_185 3 GL831176.1 130
transcript_10006 scaffold_185 4 GL831176.1 129
transcript_10007 scaffold_185 5 GL831176.1 123
transcript_10008 scaffold_185 6 GL831176.1 122
transcript_10009 scaffold_185 7 GL831176.1 121
transcript_10010 scaffold_185 8 GL831176.1 120
transcript_10011 scaffold_185 9 GL831176.1 118
transcript_10012 scaffold_185 10 GL831176.1 114
transcript_10012 scaffold_185 10 GL831176.1 117
transcript_10014 scaffold_185 11 GL831176.1 113
transcript_10016 scaffold_185 12 GL831176.1 104
transcript_10017 scaffold_185 13 GL831176.1 103
transcript_10018 scaffold_185 14 GL831176.1 102
transcript_10019 scaffold_185 15 GL831176.1 101
transcript_10020 scaffold_185 16 GL831176.1 99
transcript_10021 scaffold_185 17 GL831176.1 95
transcript_10021 scaffold_185 17 GL831176.1 97
transcript_10025 scaffold_185 18 GL831176.1 94
transcript_1003 scaffold_1008 0 GL831219.1 102
transcript_10031 scaffold_185 19 GL831176.1 90
transcript_10033 scaffold_185 20 GL831176.1 89
transcript_10034 scaffold_185 21 GL831176.1 88
transcript_10035 scaffold_185 22 GL831176.1 87
transcript_10037 scaffold_185 23 GL831140.1 316
transcript_10037 scaffold_185 23 GL831140.1 328
transcript_10037 scaffold_185 23 GL831307.1 56
transcript_10037 scaffold_185 23 GL831355.1 7
transcript_10037 scaffold_185 23 GL831176.1 83
transcript_10037 scaffold_185 23 GL831176.1 85
transcript_10038 scaffold_1854 0 GL831561.1 26
transcript_10038 scaffold_1854 0 GL831561.1 28
transcript_10038 scaffold_1854 0 GL831561.1 30
transcript_10038 scaffold_1854 0 GL831239.1 99
transcript_1004 scaffold_1008 1 GL831219.1 104
transcript_10042 scaffold_186 0 GL831178.1 49
transcript_10043 scaffold_186 1 GL831178.1 48
transcript_10044 scaffold_186 2 GL831192.1 175
transcript_10044 scaffold_186 2 GL831669.1 4
transcript_10044 scaffold_186 2 GL831178.1 47
transcript_10044 scaffold_186 2 GL831215.1 99
transcript_10046 scaffold_186 3 GL831178.1 46
transcript_10047 scaffold_186 4 GL831178.1 45
transcript_10048 scaffold_186 5 GL831178.1 44
transcript_10049 scaffold_186 6 GL831178.1 43
transcript_1005 scaffold_1008 2 GL831219.1 105
transcript_10050 scaffold_186 7 GL831178.1 42
transcript_10052 scaffold_186 8 GL831178.1 39
transcript_10053 scaffold_186 9 GL831178.1 38
transcript_10054 scaffold_186 10 GL831178.1 37
transcript_10055 scaffold_186 11 GL831178.1 36
transcript_10057 scaffold_186 12 GL831178.1 35
transcript_10058 scaffold_186 13 GL831178.1 34
transcript_10059 scaffold_186 14 GL831178.1 33
transcript_10060 scaffold_186 15 GL831178.1 32
transcript_10061 scaffold_186 16 GL831180.1 39
transcript_10061 scaffold_186 16 GL831180.1 42
transcript_10062 scaffold_186 17 GL831178.1 31
transcript_10065 scaffold_186 18 GL831178.1 29
transcript_10065 scaffold_186 18 GL831186.1 58
transcript_10067 scaffold_186 19 GL831178.1 28
transcript_10068 scaffold_186 20 GL831178.1 27
transcript_10068 scaffold_186 20 GL831186.1 59
transcript_10069 scaffold_186 21 GL831178.1 26
transcript_10070 scaffold_186 22 GL831178.1 25
transcript_10071 scaffold_186 23 GL831178.1 24
transcript_10073 scaffold_186 24 GL831178.1 23
transcript_10074 scaffold_186 25 GL831178.1 22
transcript_10075 scaffold_186 26 GL831178.1 19
transcript_10075 scaffold_186 26 GL831178.1 21
transcript_10075 scaffold_186 26 GL831347.1 26
transcript_10076 scaffold_186 27 GL831178.1 18
transcript_10077 scaffold_186 28 GL831178.1 17
transcript_10078 scaffold_186 29 GL831178.1 16
transcript_10079 scaffold_186 30 GL831178.1 15
transcript_1008 scaffold_1009 0 GL831280.1 89
transcript_10080 scaffold_186 31 GL831178.1 14
transcript_10082 scaffold_186 32 GL831178.1 13
transcript_10083 scaffold_186 33 GL831178.1 12
transcript_10085 scaffold_186 34 GL831178.1 11
transcript_10085 scaffold_186 34 GL831229.1 135
transcript_10085 scaffold_186 34 GL831243.1 44
transcript_10086 scaffold_186 35 GL831178.1 10
transcript_10086 scaffold_186 35 GL831175.1 211
transcript_10087 scaffold_186 36 GL831178.1 9
transcript_10088 scaffold_186 37 GL831178.1 8
transcript_10089 scaffold_186 38 GL831204.1 3
transcript_10089 scaffold_186 38 GL831178.1 7
transcript_10090 scaffold_186 39 GL831178.1 6
transcript_10091 scaffold_186 40 GL831178.1 5
transcript_10092 scaffold_186 41 GL831143.1 447
transcript_10092 scaffold_186 41 GL831143.1 450
transcript_10092 scaffold_186 41 GL831143.1 452
transcript_10095 scaffold_186 42 GL831143.1 453
transcript_10097 scaffold_186 43 GL831143.1 454
transcript_10098 scaffold_186 44 GL831143.1 455
transcript_10099 scaffold_186 45 GL831143.1 456
transcript_1010 scaffold_1009 1 GL831280.1 90
transcript_10100 scaffold_186 46 GL831143.1 457
transcript_10101 scaffold_186 47 GL831143.1 458
transcript_10101 scaffold_186 47 GL831143.1 460
transcript_10101 scaffold_186 47 GL831143.1 462
transcript_10102 scaffold_1861 0 GL831328.1 29
transcript_10104 scaffold_1868 0 GL831206.1 71
transcript_10106 scaffold_187 0 GL831149.1 93
transcript_10106 scaffold_187 0 GL831149.1 95
transcript_1011 scaffold_1009 2 GL831280.1 92
transcript_10110 scaffold_187 1 GL831149.1 96
transcript_10111 scaffold_187 2 GL831149.1 97
transcript_10112 scaffold_187 3 GL831178.1 161
transcript_10112 scaffold_187 3 GL831149.1 98
transcript_10113 scaffold_187 4 GL831148.1 393
transcript_10113 scaffold_187 4 GL831149.1 99
transcript_10114 scaffold_187 5 GL831149.1 100
transcript_10116 scaffold_187 6 GL831149.1 101
transcript_10117 scaffold_187 7 GL831149.1 102
transcript_10119 scaffold_187 8 GL831149.1 103
transcript_1012 scaffold_1009 3 GL831280.1 94
transcript_10120 scaffold_187 9 GL831149.1 104
transcript_10121 scaffold_187 10 GL831149.1 105
transcript_10121 scaffold_187 10 GL831149.1 108
transcript_10122 scaffold_187 11 GL831149.1 109
transcript_10123 scaffold_187 12 GL831149.1 110
transcript_10124 scaffold_187 13 GL831149.1 111
transcript_10125 scaffold_187 14 GL831149.1 112
transcript_10126 scaffold_187 15 GL831149.1 113
transcript_10127 scaffold_187 16 GL831149.1 114
transcript_10128 scaffold_187 17 GL831149.1 115
transcript_10129 scaffold_187 18 GL831149.1 116
transcript_10130 scaffold_187 19 GL831167.1 105
transcript_10130 scaffold_187 19 GL831149.1 117
transcript_10130 scaffold_187 19 GL831149.1 119
transcript_10130 scaffold_187 19 GL831149.1 121
transcript_10130 scaffold_187 19 GL831149.1 126
transcript_10130 scaffold_187 19 GL831149.1 129
transcript_10130 scaffold_187 19 GL831149.1 134
transcript_10130 scaffold_187 19 GL831149.1 136
transcript_10130 scaffold_187 19 GL831149.1 141
transcript_10130 scaffold_187 19 GL831149.1 152
transcript_10130 scaffold_187 19 GL831149.1 16
transcript_10130 scaffold_187 19 GL831149.1 169
transcript_10130 scaffold_187 19 GL831564.1 2
transcript_10130 scaffold_187 19 GL831149.1 20
transcript_10130 scaffold_187 19 GL831149.1 22
transcript_10130 scaffold_187 19 GL831149.1 24
transcript_10130 scaffold_187 19 GL831149.1 37
transcript_10130 scaffold_187 19 GL831149.1 39
transcript_10130 scaffold_187 19 GL831536.1 4
transcript_10130 scaffold_187 19 GL831149.1 5
transcript_10130 scaffold_187 19 GL831200.1 537
transcript_10130 scaffold_187 19 GL831200.1 539
transcript_10130 scaffold_187 19 GL831149.1 7
transcript_10132 scaffold_187 20 GL831149.1 144
transcript_10133 scaffold_187 21 GL831149.1 135
transcript_10133 scaffold_187 21 GL831149.1 145
transcript_10133 scaffold_187 21 GL831149.1 147
transcript_10134 scaffold_187 22 GL831149.1 10
transcript_10134 scaffold_187 22 GL831307.1 10
transcript_10134 scaffold_187 22 GL831149.1 12
transcript_10134 scaffold_187 22 GL831149.1 124
transcript_10134 scaffold_187 22 GL831149.1 130
transcript_10134 scaffold_187 22 GL831275.1 132
transcript_10134 scaffold_187 22 GL831149.1 137
transcript_10134 scaffold_187 22 GL831164.1 146
transcript_10134 scaffold_187 22 GL831149.1 148
transcript_10134 scaffold_187 22 GL831149.1 155
transcript_10134 scaffold_187 22 GL831149.1 166
transcript_10134 scaffold_187 22 GL831164.1 175
transcript_10134 scaffold_187 22 GL831164.1 184
